number,code,browser,shortname
403,U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,woman surfing
404,U+1F6A3,🚣,person rowing boat
405,U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,man rowing boat
406,U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,woman rowing boat
407,U+1F3CA,🏊,person swimming
408,U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,man swimming
409,U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,woman swimming
410,U+26F9,⛹,person bouncing ball
411,U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,man bouncing ball
412,U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,woman bouncing ball
413,U+1F3CB,🏋,person lifting weights
414,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,man lifting weights
415,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,woman lifting weights
416,U+1F6B4,🚴,person biking
417,U+1F6B4 U+200D U+2642 U+FE0F,🚴‍♂️,man biking
418,U+1F6B4 U+200D U+2640 U+FE0F,🚴‍♀️,woman biking
419,U+1F6B5,🚵,person mountain biking
420,U+1F6B5 U+200D U+2642 U+FE0F,🚵‍♂️,man mountain biking
421,U+1F6B5 U+200D U+2640 U+FE0F,🚵‍♀️,woman mountain biking
422,U+1F938,🤸,person cartwheeling
423,U+1F938 U+200D U+2642 U+FE0F,🤸‍♂️,man cartwheeling
424,U+1F938 U+200D U+2640 U+FE0F,🤸‍♀️,woman cartwheeling
425,U+1F93C,🤼,people wrestling
426,U+1F93C U+200D U+2642 U+FE0F,🤼‍♂️,men wrestling
427,U+1F93C U+200D U+2640 U+FE0F,🤼‍♀️,women wrestling
428,U+1F93D,🤽,person playing water polo
429,U+1F93D U+200D U+2642 U+FE0F,🤽‍♂️,man playing water polo
430,U+1F93D U+200D U+2640 U+FE0F,🤽‍♀️,woman playing water polo
431,U+1F93E,🤾,person playing handball
432,U+1F93E U+200D U+2642 U+FE0F,🤾‍♂️,man playing handball
433,U+1F93E U+200D U+2640 U+FE0F,🤾‍♀️,woman playing handball
434,U+1F939,🤹,person juggling
435,U+1F939 U+200D U+2642 U+FE0F,🤹‍♂️,man juggling
436,U+1F939 U+200D U+2640 U+FE0F,🤹‍♀️,woman juggling
440,U+1F6C0,🛀,person taking bath
441,U+1F6CC,🛌,person in bed
443,U+1F46D,👭,women holding hands
444,U+1F46B,👫,woman and man holding hands
445,U+1F46C,👬,men holding hands
